date,close,Volume,open,high,low
1/11/23,$47.45 ,23022230,$47.70 ,$47.74 ,$46.86 
1/10/23,$47.62 ,29212000,$48.35 ,$48.47 ,$47.38 
1/9/23,$48.39 ,30839130,$50.05 ,$50.26 ,$48.31 
1/6/23,$50.92 ,29635950,$49.98 ,$51.60 ,$49.56 
1/5/23,$49.66 ,20057410,$49.73 ,$49.99 ,$48.92 
1/4/23,$50.13 ,21808430,$50.29 ,$50.63 ,$49.52 
1/3/23,$51.26 ,15603790,$51.01 ,$51.33 ,$50.82 
12/30/22,$51.24 ,11396190,$51.29 ,$51.40 ,$50.75 
12/29/22,$51.33 ,8971290,$51.02 ,$51.67 ,$50.99 
12/28/22,$50.80 ,10053920,$51.05 ,$51.39 ,$50.75 
12/27/22,$51.13 ,12033760,$51.86 ,$51.93 ,$51.05 
12/23/22,$51.83 ,10666540,$51.56 ,$51.95 ,$51.24 
12/22/22,$51.64 ,14824090,$51.41 ,$51.70 ,$50.95 
12/21/22,$51.66 ,12925030,$51.61 ,$52.16 ,$51.20 
12/20/22,$51.32 ,12433840,$51.21 ,$51.51 ,$50.84 
12/19/22,$51.36 ,16081890,$51.52 ,$51.81 ,$50.70 
12/16/22,$51.40 ,65689490,$53.01 ,$53.14 ,$51.40 
12/15/22,$53.61 ,21630300,$54.07 ,$54.43 ,$53.40 
12/14/22,$54.48 ,36260310,$53.14 ,$54.93 ,$52.90 
